plus jeune femme de sa génération promue associée chez Accenture après avoir fait ses classes à le Marketing d' Unilever , elle dirige la politique de développement durable de le groupe Accor depuis 2010 et vient de prendre la direction de les académies , l' organe de formation interne de le groupe .	promue associée chez	plus jeune femme de sa génération	Accenture
plus jeune femme de sa génération promue associée chez Accenture après avoir fait ses classes à le Marketing d' Unilever , elle dirige la politique de développement durable de le groupe Accor depuis 2010 et vient de prendre la direction de les académies , l' organe de formation interne de le groupe .	avoir fait ses classes à	plus jeune femme de sa génération	le Marketing d' Unilever
plus jeune femme de sa génération promue associée chez Accenture après avoir fait ses classes à le Marketing d' Unilever , elle dirige la politique de développement durable de le groupe Accor depuis 2010 et vient de prendre la direction de les académies , l' organe de formation interne de le groupe .	,	plus jeune femme de sa génération promue associée chez Accenture après avoir fait ses classes à le Marketing d' Unilever	elle
plus jeune femme de sa génération promue associée chez Accenture après avoir fait ses classes à le Marketing d' Unilever , elle dirige la politique de développement durable de le groupe Accor depuis 2010 et vient de prendre la direction de les académies , l' organe de formation interne de le groupe .	dirige	elle	la politique de développement durable	de le groupe Accor	depuis 2010
plus jeune femme de sa génération promue associée chez Accenture après avoir fait ses classes à le Marketing d' Unilever , elle dirige la politique de développement durable de le groupe Accor depuis 2010 et vient de prendre la direction de les académies , l' organe de formation interne de le groupe .	vient de prendre	elle	la direction de les académies
plus jeune femme de sa génération promue associée chez Accenture après avoir fait ses classes à le Marketing d' Unilever , elle dirige la politique de développement durable de le groupe Accor depuis 2010 et vient de prendre la direction de les académies , l' organe de formation interne de le groupe .	l' organe de formation interne	la direction de les académies	de le groupe
ce qui propulse cette mère de deux enfants , formée à l' IEP Strasbourg et l' EM Lyon , à le comité de direction mondial , le top 20 managérial de l' entreprise .	formée à	mère de deux enfants	l' IEP Strasbourg
ce qui propulse cette mère de deux enfants , formée à l' IEP Strasbourg et l' EM Lyon , à le comité de direction mondial , le top 20 managérial de l' entreprise .	formée à	mère de deux enfants	l' EM Lyon
ce qui propulse cette mère de deux enfants , formée à l' IEP Strasbourg et l' EM Lyon , à le comité de direction mondial , le top 20 managérial de l' entreprise .	propulse	ce	cette mère de deux enfants	à le comité de direction mondial
ce qui propulse cette mère de deux enfants , formée à l' IEP Strasbourg et l' EM Lyon , à le comité de direction mondial , le top 20 managérial de l' entreprise .	le top 20 managérial de	le comité de direction mondial	l' entreprise
sous la houlette de sa directrice financière , Air Liquide devenait la première entreprise française à emprunter en Renminbi sur les marchés .	sous la houlette de	Air Liquide	sa directrice financière
sous la houlette de sa directrice financière , Air Liquide devenait la première entreprise française à emprunter en Renminbi sur les marchés .	devenait	Air Liquide	la première entreprise française à emprunter en Renminbi sur les marchés
sous la houlette de sa directrice financière , Air Liquide devenait la première entreprise française à emprunter en Renminbi sur les marchés .	emprunter en	la première entreprise française	Renminbi	sur les marchés
en levant 2,6 milliards ( 301 millions d' euros ) en deux jours , elle réalisait l' opération la plus importante depuis que McDonald's a ouvert le bal en 2010 .	levant	elle	2,6 milliards	en deux jours
en levant 2,6 milliards ( 301 millions d' euros ) en deux jours , elle réalisait l' opération la plus importante depuis que McDonald's a ouvert le bal en 2010 .	(	2,6 milliards	301 millions d' euros
en levant 2,6 milliards ( 301 millions d' euros ) en deux jours , elle réalisait l' opération la plus importante depuis que McDonald's a ouvert le bal en 2010 .	réalisait	elle	l' opération la plus importante	depuis que McDonald's a ouvert le bal en 2010
en levant 2,6 milliards ( 301 millions d' euros ) en deux jours , elle réalisait l' opération la plus importante depuis que McDonald's a ouvert le bal en 2010 .	a ouvert le bal en	McDonald's	2010
en six mois , il en a été levé pour 9 milliards de dollars , contre 12 milliards en cinq ans ( 2005-10 ) .	levé	9 milliards de dollars	en six mois
en six mois , il en a été levé pour 9 milliards de dollars , contre 12 milliards en cinq ans ( 2005-10 ) .	levé	12 milliards	en cinq ans
et à le troisième trimestre de cette année , les émissions d' entreprises en Renminbi ont dépassé celles libellées en euro .	ont dépassé	les émissions d' entreprises en Renminbi	celles libellées en euro	à le troisième trimestre de cette année
et à le troisième trimestre de cette année , les émissions d' entreprises en Renminbi ont dépassé celles libellées en euro .	libellées en	celles	euro
et à le troisième trimestre de cette année , les émissions d' entreprises en Renminbi ont dépassé celles libellées en euro .	émissions	entreprises	en Renminbi
certes , ce passage en tête est d' abord dû à la désaffection pour l' euro dont le statut international est affaibli par la crise .	est d' abord dû à	ce passage en tête	la désaffection pour l' euro	certes
certes , ce passage en tête est d' abord dû à la désaffection pour l' euro dont le statut international est affaibli par la crise .	désaffection	l' euro
certes , ce passage en tête est d' abord dû à la désaffection pour l' euro dont le statut international est affaibli par la crise .	dont	l' euro	le statut international est affaibli par la crise
certes , ce passage en tête est d' abord dû à la désaffection pour l' euro dont le statut international est affaibli par la crise .	est affaibli par	le statut international	la crise
mais l' engouement marque un net essor de le Renminbi à l' international .	marque	l' engouement	un net essor de le Renminbi à l' international
mais l' engouement marque un net essor de le Renminbi à l' international .	un net essor	le Renminbi	à l' international
à le point que HSBC , la banque qui s' affiche comme premier opérateur mondial sur la devise chinoise , la voit supplanter le yen dès 2015 pour se ranger à la troisième place loin derrière le dollar et l' euro .	,	HSBC	la banque qui s' affiche comme premier opérateur mondial sur la devise chinoise
à le point que HSBC , la banque qui s' affiche comme premier opérateur mondial sur la devise chinoise , la voit supplanter le yen dès 2015 pour se ranger à la troisième place loin derrière le dollar et l' euro .	affiche comme premier opérateur mondial sur	la banque	la devise chinoise
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	déclarations fracassantes	Zhou Xiaochuan
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	gouverneur de	Zhou Xiaochuan	la banque centrale chinoise	en mars 2009
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	réclamant	Zhou Xiaochuan	que le Renminbi entre dans la composition de le dts
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	réclamant	Zhou Xiaochuan	que celui-ci devienne la devise de référence internationale
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	réclamant	gouverneur de la banque centrale chinoise	que le Renminbi entre dans la composition de le dts
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	que celui-ci devienne la devise de référence internationale	gouverneur de la banque centrale chinoise
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	entre dans la composition de	le Renminbi	le dts
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	la monnaie » de	le dts	le FMI
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	devienne	celui-ci	la devise de référence internationale
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	devienne	le Renminbi	la devise de référence internationale
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	doutent que	les experts	la chine veuille rapidement s' imposer sur la scène monétaire mondiale
c' est pourquoi , en dépit de les déclarations fracassantes de Zhou Xiaochuan , gouverneur de la banque centrale chinoise en mars 2009 réclamant que le Renminbi entre dans la composition de le dts ( « la monnaie » de le FMI ) et que celui-ci devienne la devise de référence internationale , les experts doutent que la chine veuille rapidement s' imposer sur la scène monétaire mondiale .	veuille rapidement s' imposer sur	la chine	la scène monétaire mondiale
cette année -là , rappelle Alicia Garcia-Herrero , économiste pour l' asie de BBVA , les banques de Hong Kong ont été autorisées à accepter les dépôts en Renminbi ( plafonnés à 20 000 dollars de Hong Kong ) .	rappelle	Alicia Garcia-Herrero	cette année -là
cette année -là , rappelle Alicia Garcia-Herrero , économiste pour l' asie de BBVA , les banques de Hong Kong ont été autorisées à accepter les dépôts en Renminbi ( plafonnés à 20 000 dollars de Hong Kong ) .	rappelle	Alicia Garcia-Herrero	les banques de Hong Kong ont été autorisées à accepter les dépôts en Renminbi ( plafonnés à 20 000 dollars de Hong Kong )
cette année -là , rappelle Alicia Garcia-Herrero , économiste pour l' asie de BBVA , les banques de Hong Kong ont été autorisées à accepter les dépôts en Renminbi ( plafonnés à 20 000 dollars de Hong Kong ) .	économiste pour	Alicia Garcia-Herrero	l' asie de BBVA
cette année -là , rappelle Alicia Garcia-Herrero , économiste pour l' asie de BBVA , les banques de Hong Kong ont été autorisées à accepter les dépôts en Renminbi ( plafonnés à 20 000 dollars de Hong Kong ) .	ont été autorisées à accepter	les banques de Hong Kong	les dépôts en Renminbi
cette année -là , rappelle Alicia Garcia-Herrero , économiste pour l' asie de BBVA , les banques de Hong Kong ont été autorisées à accepter les dépôts en Renminbi ( plafonnés à 20 000 dollars de Hong Kong ) .	plafonnés à	les dépôts en Renminbi	20 000 dollars de Hong Kong
la crise financière de 2008 donne ensuite un coup d' accélérateur .	donne	la crise financière de 2008	un coup d' accélérateur
